apt_id,profile,POI,CENA,M2,ZDJ,ATRAKCYJNOSC,price_pln_m2,size_m2,photos_count,TOP_PLUS,TOP_MINUS
A000,rodzinny,0.6141,0.9905,0.83,0.8647,0.7883,10720.0,58.2,10,"sklep(+1.00), przystanek_autobus(+1.00), szkola_przedszkole(+0.99)","pub(-0.24), klub(-0.15), stacja_kolej_metro(0.00)"
A000,studencki,0.6589,0.9905,1.0,0.8647,0.8535,10720.0,58.2,10,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+0.86)","stacja_kolej_metro(0.00), galeria(0.00), plac_zabaw(0.00)"
A000,singiel,0.6661,0.9905,1.0,0.8647,0.9064,10720.0,58.2,10,"sklep(+1.00), przystanek_autobus(+1.00), kawiarnia_restauracja(+1.00)","stacja_kolej_metro(0.00), szkola_przedszkole(0.00), galeria(0.00)"
A000,wlasciciel_psa,0.5941,0.9905,1.0,0.8647,0.8087,10720.0,58.2,10,"sklep(+1.00), przystanek_autobus(+1.00), park(+0.99)","pub(-0.08), klub(-0.06), stacja_kolej_metro(0.00)"
A000,uniwersalny,0.6576,0.9905,1.0,0.8647,0.8746,10720.0,58.2,10,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+0.86)","stacja_kolej_metro(0.00), galeria(0.00), sklep_zoologiczny(0.03)"
A001,rodzinny,0.4558,0.7465,0.1325,0.5507,0.3894,11838.0,30.3,4,"szkola_przedszkole(+0.95), przystanek_autobus(+0.86), park(+0.67)","pub(-0.01), stacja_kolej_metro(0.00), sklep_zoologiczny(0.00)"
A001,studencki,0.3387,0.7465,0.412,0.5507,0.5067,11838.0,30.3,4,"przystanek_autobus(+0.86), biblioteka(+0.64), sklep(+0.62)","stacja_kolej_metro(0.00), klub(0.00), galeria(0.00)"
A001,singiel,0.3598,0.7465,0.412,0.5507,0.523,11838.0,30.3,4,"przystanek_autobus(+0.86), sklep(+0.62), kawiarnia_restauracja(+0.54)","stacja_kolej_metro(0.00), szkola_przedszkole(0.00), galeria(0.00)"
A001,wlasciciel_psa,0.4132,0.7465,0.1767,0.5507,0.4158,11838.0,30.3,4,"przystanek_autobus(+0.86), park(+0.67), sklep(+0.62)","pub(-0.00), stacja_kolej_metro(0.00), sklep_zoologiczny(0.00)"
A001,uniwersalny,0.4375,0.7465,0.2515,0.5507,0.4759,11838.0,30.3,4,"przystanek_autobus(+0.86), plac_zabaw(+0.65), sklep(+0.62)","stacja_kolej_metro(0.00), galeria(0.00), klub(0.00)"
A002,rodzinny,0.2527,0.0962,1.0,0.5507,0.5352,14818.0,68.0,4,"przystanek_autobus(+0.98), park(+0.89), przystanek_tramwaj(+0.75)","pub(-0.02), stacja_kolej_metro(0.00), galeria(0.00)"
A002,studencki,0.2543,0.0962,1.0,0.5507,0.3629,14818.0,68.0,4,"przystanek_autobus(+0.98), uczelnia(+0.85), przystanek_tramwaj(+0.75)","biblioteka(0.00), stacja_kolej_metro(0.00), klub(0.00)"
A002,singiel,0.2138,0.0962,1.0,0.5507,0.4647,14818.0,68.0,4,"przystanek_autobus(+0.98), przystanek_tramwaj(+0.75), park(+0.58)","silownia(0.00), stacja_kolej_metro(0.00), bank_atm(0.00)"
A002,wlasciciel_psa,0.2499,0.0962,1.0,0.5507,0.4592,14818.0,68.0,4,"przystanek_autobus(+0.98), park(+0.89), przystanek_tramwaj(+0.75)","pub(-0.01), weterynarz(0.00), galeria(0.00)"
A002,uniwersalny,0.2371,0.0962,1.0,0.5507,0.4778,14818.0,68.0,4,"przystanek_autobus(+0.98), przystanek_tramwaj(+0.75), park(+0.58)","biblioteka(0.00), stacja_kolej_metro(0.00), galeria(0.00)"
A003,rodzinny,0.7897,0.5259,0.52,0.7534,0.6272,12849.0,45.8,7,"sklep(+1.00), szkola_przedszkole(+1.00), przystanek_autobus(+1.00)","klub(-0.37), pub(-0.30), stacja_kolej_metro(0.00)"
A003,studencki,0.8761,0.5259,1.0,0.7534,0.7722,12849.0,45.8,7,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","stacja_kolej_metro(0.00), galeria(0.00), plac_zabaw(0.00)"
A003,singiel,0.8691,0.5259,1.0,0.7534,0.789,12849.0,45.8,7,"sklep(+1.00), kawiarnia_restauracja(+1.00), przystanek_autobus(+1.00)","stacja_kolej_metro(0.00), szkola_przedszkole(0.00), galeria(0.00)"
A003,wlasciciel_psa,0.8451,0.5259,0.6933,0.7534,0.7312,12849.0,45.8,7,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","klub(-0.15), pub(-0.10), stacja_kolej_metro(0.00)"
A003,uniwersalny,0.8878,0.5259,0.7212,0.7534,0.7272,12849.0,45.8,7,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","stacja_kolej_metro(0.00), galeria(0.00), klub(0.26)"
A004,rodzinny,0.0338,0.2407,0.34,0.6321,0.2276,14156.0,38.6,5,"przystanek_autobus(+0.46), apteka(+0.00), szpital_przychodnia(+0.00)","szpital_przychodnia(0.00), apteka(0.00), sklep(0.00)"
A004,studencki,0.034,0.2407,0.744,0.6321,0.2782,14156.0,38.6,5,"przystanek_autobus(+0.46), szpital_przychodnia(+0.00), apteka(+0.00)","szpital_przychodnia(0.00), apteka(0.00), sklep(0.00)"
A004,singiel,0.0367,0.2407,0.744,0.6321,0.3854,14156.0,38.6,5,"przystanek_autobus(+0.46), szpital_przychodnia(+0.00), apteka(+0.00)","szpital_przychodnia(0.00), apteka(0.00), sklep(0.00)"
A004,wlasciciel_psa,0.0366,0.2407,0.4533,0.6321,0.2322,14156.0,38.6,5,"przystanek_autobus(+0.46), apteka(+0.00), szpital_przychodnia(+0.00)","szpital_przychodnia(0.00), apteka(0.00), sklep(0.00)"
A004,uniwersalny,0.0343,0.2407,0.503,0.6321,0.3162,14156.0,38.6,5,"przystanek_autobus(+0.46), apteka(+0.00), szpital_przychodnia(+0.00)","szpital_przychodnia(0.00), apteka(0.00), sklep(0.00)"
A005,rodzinny,0.0379,0.3753,0.3525,0.7534,0.267,13539.0,39.1,7,"park(+0.29), przystanek_autobus(+0.15), plac_zabaw(+0.05)","szpital_przychodnia(0.00), apteka(0.00), sklep(0.00)"
A005,studencki,0.0369,0.3753,0.764,0.7534,0.3366,13539.0,39.1,7,"park(+0.19), przystanek_autobus(+0.15), uczelnia(+0.14)","szpital_przychodnia(0.00), apteka(0.00), sklep(0.00)"
A005,singiel,0.0291,0.3753,0.764,0.7534,0.4437,13539.0,39.1,7,"park(+0.19), przystanek_autobus(+0.15), przystanek_tramwaj(+0.03)","szpital_przychodnia(0.00), apteka(0.00), sklep(0.00)"
A005,wlasciciel_psa,0.0391,0.3753,0.47,0.7534,0.2713,13539.0,39.1,7,"park(+0.29), przystanek_autobus(+0.15), przystanek_tramwaj(+0.03)","szpital_przychodnia(0.00), apteka(0.00), sklep(0.00)"
A005,uniwersalny,0.031,0.3753,0.5182,0.7534,0.3716,13539.0,39.1,7,"park(+0.19), przystanek_autobus(+0.15), plac_zabaw(+0.05)","szpital_przychodnia(0.00), apteka(0.00), sklep(0.00)"
A006,rodzinny,0.7448,0.8522,0.5525,0.6988,0.6871,11354.0,47.1,6,"sklep(+1.00), szkola_przedszkole(+1.00), przystanek_autobus(+1.00)","pub(-0.26), klub(-0.07), stacja_kolej_metro(0.00)"
A006,studencki,0.745,0.8522,1.0,0.6988,0.8312,11354.0,47.1,6,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","stacja_kolej_metro(0.00), galeria(0.00), plac_zabaw(0.00)"
A006,singiel,0.724,0.8522,1.0,0.6988,0.8642,11354.0,47.1,6,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","stacja_kolej_metro(0.00), szkola_przedszkole(0.00), galeria(0.00)"
A006,wlasciciel_psa,0.7653,0.8522,0.7367,0.6988,0.7708,11354.0,47.1,6,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","pub(-0.09), klub(-0.03), stacja_kolej_metro(0.00)"
A006,uniwersalny,0.7843,0.8522,0.7606,0.6988,0.7813,11354.0,47.1,6,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","stacja_kolej_metro(0.00), galeria(0.00), klub(0.05)"
A007,rodzinny,0.8151,0.3891,0.4375,0.6321,0.5697,13476.0,42.5,5,"sklep(+1.00), szkola_przedszkole(+1.00), przystanek_autobus(+1.00)","pub(-0.30), klub(-0.08), stacja_kolej_metro(0.00)"
A007,studencki,0.8117,0.3891,0.9,0.6321,0.6725,13476.0,42.5,5,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","stacja_kolej_metro(0.00), galeria(0.00), plac_zabaw(0.00)"
A007,singiel,0.8257,0.3891,0.9,0.6321,0.6892,13476.0,42.5,5,"sklep(+1.00), kawiarnia_restauracja(+1.00), przystanek_autobus(+1.00)","stacja_kolej_metro(0.00), szkola_przedszkole(0.00), galeria(0.00)"
A007,wlasciciel_psa,0.8589,0.3891,0.5833,0.6321,0.6709,13476.0,42.5,5,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","pub(-0.10), klub(-0.03), stacja_kolej_metro(0.00)"
