id,osm_type,name,amenity,leisure,shop,railway,highway,public_transport,lat,lon,kategoria
269557567,node,Matejki 02,,,,,bus_stop,,54.37480163574219,18.613054275512695,przystanek_autobus
269557591,node,Siedlicka 02,,,,,bus_stop,,54.370033264160156,18.61134147644043,przystanek_autobus
269557592,node,Miszewskiego 02,,,,tram_stop,,,54.37578582763672,18.61515235900879,przystanek_tramwaj
269557594,node,Klonowa,,,,tram_stop,,,54.3798828125,18.6030330657959,przystanek_tramwaj
269557596,node,Galeria Bałtycka 02,,,,tram_stop,,,54.38207244873047,18.598960876464844,przystanek_tramwaj
269557600,node,Wojska Polskiego 02,,,,tram_stop,,,54.387046813964844,18.590776443481445,przystanek_tramwaj
270359423,node,Oliwa 02,,,,tram_stop,,,54.40991973876953,18.565921783447266,przystanek_tramwaj
270359429,node,Obrońców Westerplatte 01,,,,tram_stop,,,54.40837478637695,18.56298065185547,przystanek_tramwaj
270431143,node,Derdowskiego 01,,,,tram_stop,,,54.405067443847656,18.56391143798828,przystanek_tramwaj
270431146,node,Tetmajera 01,,,,tram_stop,,,54.40270233154297,18.5656795501709,przystanek_tramwaj
270448708,node,Bażyńskiego 01,,,,tram_stop,,,54.39884567260742,18.568605422973633,przystanek_tramwaj
270448711,node,Uniwersytet Gdański 01,,,,tram_stop,,,54.39580535888672,18.57164192199707,przystanek_tramwaj
271406174,node,Strzyża PKM 01,,,,tram_stop,,,54.391380310058594,18.577423095703125,przystanek_tramwaj
271406175,node,Wilka-Krzyżanowskiego 02,,,,tram_stop,,,54.38823318481445,18.581884384155273,przystanek_tramwaj
273161199,node,Zamenhofa 02,,,,tram_stop,,,54.38691329956055,18.585508346557617,przystanek_tramwaj
280272737,node,Jaśkowa Dolina 04,,,,,bus_stop,,54.377601623535156,18.608097076416016,przystanek_autobus
301671582,node,"Gdańsk, Dworzec PKS",,,,,bus_stop,,54.357032775878906,18.643037796020508,przystanek_autobus
421690831,node,Strzyża PKM 03,,,,tram_stop,,,54.39109420776367,18.578157424926758,przystanek_tramwaj
442256675,node,Dr. Max,pharmacy,,,,,,54.36091232299805,18.711936950683594,apteka
442257163,node,Dom Leków,pharmacy,,,,,,54.36122512817383,18.714752197265625,apteka
448248102,node,Wołkowyska,,,,,bus_stop,,54.350704193115234,18.569944381713867,przystanek_autobus
452409476,node,Fukafe,cafe,,,,,,54.38164138793945,18.611066818237305,kawiarnia_restauracja
471843082,node,Merkus,,,convenience,,,,54.34577941894531,18.648530960083008,sklep
471843083,node,Eljax,pharmacy,,,,,,54.3455810546875,18.649335861206055,apteka
473434468,node,Brama Oliwska,,,,tram_stop,,,54.362064361572266,18.64155387878418,przystanek_tramwaj
478757772,node,Krokodyl,restaurant,,,,,,54.3594970703125,18.57891845703125,kawiarnia_restauracja
533995189,node,Zakopiańska,,,,,bus_stop,,54.34884262084961,18.61861228942871,przystanek_autobus
595656593,node,Kuchnia Aleksandry,restaurant,,,,,,54.34817886352539,18.653621673583984,kawiarnia_restauracja
595656602,node,Zielony Zakątek,restaurant,,,,,,54.3475341796875,18.65528106689453,kawiarnia_restauracja
595656605,node,Yang Guang,restaurant,,,,,,54.347530364990234,18.657018661499023,kawiarnia_restauracja
595656606,node,Latający Holender,restaurant,,,,,,54.348297119140625,18.654748916625977,kawiarnia_restauracja
595656607,node,Sphinx,restaurant,,,,,,54.3482666015625,18.654916763305664,kawiarnia_restauracja
595656613,node,Restauracja Republika,restaurant,,,,,,54.348846435546875,18.656217575073242,kawiarnia_restauracja
595656615,node,Millennium Bank,bank,,,,,,54.347320556640625,18.65883445739746,bank_atm
595656620,node,ING Bank Śląski,bank,,,,,,54.34715270996094,18.66098976135254,bank_atm
595656622,node,Santander,bank,,,,,,54.347171783447266,18.661788940429688,bank_atm
595656630,node,Cafe Kamienica,cafe,,,,,,54.34964370727539,18.65570640563965,kawiarnia_restauracja
595795171,node,Akademia Muzyczna,,,,tram_stop,,,54.3446159362793,18.66419219970703,przystanek_tramwaj
595795182,node,Brama Żuławska,,,,tram_stop,,,54.3476676940918,18.66935157775879,przystanek_tramwaj
596395488,node,Siedlce 06,,,,,bus_stop,,54.34856414794922,18.60659408569336,przystanek_autobus
622327405,node,Brama Wyżynna,,,,tram_stop,,,54.350399017333984,18.64603042602539,przystanek_tramwaj
622327415,node,Okopowa,,,,tram_stop,,,54.34756851196289,18.64630889892578,przystanek_tramwaj
622327423,node,Żabi Kruk,,,,tram_stop,,,54.34659957885742,18.65152931213379,przystanek_tramwaj
622327429,node,Chmielna 01,,,,tram_stop,,,54.345462799072266,18.657075881958008,przystanek_tramwaj
622327524,node,Plac Solidarności 02,,,,tram_stop,,,54.36030197143555,18.64794921875,przystanek_tramwaj
622328005,node,Hucisko,,,,tram_stop,,,54.35188674926758,18.64499855041504,przystanek_tramwaj
622329077,node,Dworzec PKS,,,,tram_stop,,,54.35697555541992,18.643442153930664,przystanek_tramwaj
737592222,node,La Famiglia Pizza,restaurant,,,,,,54.349830627441406,18.65055274963379,kawiarnia_restauracja
746495990,node,Millennium Bank,bank,,,,,,54.35163497924805,18.64739418029785,bank_atm
746495993,node,BOŚ Bank,bank,,,,,,54.34636688232422,18.650442123413086,bank_atm
746495995,node,Retro,cafe,,,,,,54.35026550292969,18.650083541870117,kawiarnia_restauracja
746496009,node,Santorini,restaurant,,,,,,54.34865188598633,18.652023315429688,kawiarnia_restauracja
746496017,node,Neptun,pub,,,,,,54.348751068115234,18.6516056060791,pub
746496028,node,Brama Wyżynna 05,,,,,bus_stop,,54.35051727294922,18.64647674560547,przystanek_autobus
746496055,node,Costa Coffee,cafe,,,,,,54.34942626953125,18.648700714111328,kawiarnia_restauracja
746496071,node,Pizzeria Napoli,restaurant,,,,,,54.34922790527344,18.650827407836914,kawiarnia_restauracja
746496080,node,Jozef K,pub,,,,,,54.35032272338867,18.649852752685547,pub
746496114,node,Ratuszowa,pharmacy,,,,,,54.34904861450195,18.65174102783203,apteka
746496115,node,Lodziarnia Grycan,cafe,,,,,,54.349422454833984,18.649761199951172,kawiarnia_restauracja
746496116,node,U Szkota,restaurant,,,,,,54.348758697509766,18.6546630859375,kawiarnia_restauracja
