apt_id,profile,POI,CENA,M2,ZDJ,ATRAKCYJNOSC,price_pln_m2,size_m2,photos_count,TOP_PLUS,TOP_MINUS
A033,rodzinny,0.6864,1.0,1.0,0.7981,0.8801,8590.0,69.3,8,"przystanek_autobus(+1.00), sklep(+1.00), szkola_przedszkole(+1.00)","pub(-0.07), stacja_kolej_metro(0.00), klub(-0.00)"
A034,rodzinny,0.7587,0.7474,1.0,0.6321,0.8466,11834.0,71.9,5,"sklep(+1.00), szkola_przedszkole(+1.00), przystanek_tramwaj(+1.00)","pub(-0.05), stacja_kolej_metro(0.00), klub(-0.00)"
A000,rodzinny,0.6141,0.9905,0.83,0.8647,0.7883,10720.0,58.2,10,"sklep(+1.00), przystanek_autobus(+1.00), szkola_przedszkole(+0.99)","pub(-0.24), klub(-0.15), stacja_kolej_metro(0.00)"
A018,rodzinny,0.7966,0.7245,0.65,0.5507,0.7113,11939.0,51.0,4,"szkola_przedszkole(+1.00), przystanek_autobus(+1.00), park(+1.00)","pub(-0.30), stacja_kolej_metro(0.00), klub(-0.00)"
A006,rodzinny,0.7448,0.8522,0.5525,0.6988,0.6871,11354.0,47.1,6,"sklep(+1.00), szkola_przedszkole(+1.00), przystanek_autobus(+1.00)","pub(-0.26), klub(-0.07), stacja_kolej_metro(0.00)"
A019,rodzinny,0.5283,0.4694,0.92,0.7981,0.6867,13108.0,61.8,8,"szkola_przedszkole(+0.90), sklep(+0.79), szpital_przychodnia(+0.75)","pub(-0.16), klub(-0.04), stacja_kolej_metro(0.00)"
A025,rodzinny,0.3037,0.6595,1.0,0.6988,0.6731,12237.0,67.1,6,"sklep(+0.68), przystanek_autobus(+0.67), szkola_przedszkole(+0.65)","klub(-0.03), pub(-0.01), przystanek_tramwaj(0.00)"
A030,rodzinny,0.8041,0.7441,0.5,0.7981,0.6702,11849.0,45.0,8,"sklep(+1.00), szkola_przedszkole(+1.00), przystanek_autobus(+1.00)","pub(-0.29), klub(-0.10), stacja_kolej_metro(0.00)"
A003,rodzinny,0.7897,0.5259,0.52,0.7534,0.6272,12849.0,45.8,7,"sklep(+1.00), szkola_przedszkole(+1.00), przystanek_autobus(+1.00)","klub(-0.37), pub(-0.30), stacja_kolej_metro(0.00)"
A026,rodzinny,0.7738,0.0986,0.7275,0.5507,0.6091,14807.0,54.1,4,"sklep(+1.00), przystanek_autobus(+1.00), szkola_przedszkole(+1.00)","klub(-0.50), pub(-0.30), stacja_kolej_metro(0.00)"
A008,rodzinny,0.0855,0.7265,1.0,0.5507,0.6027,11930.0,80.1,4,"przystanek_autobus(+0.89), sklep(+0.18), plac_zabaw(+0.05)","szpital_przychodnia(0.00), apteka(0.00), przystanek_tramwaj(0.00)"
A010,rodzinny,0.6603,0.5639,0.5875,0.3297,0.5954,12675.0,48.5,2,"przystanek_autobus(+1.00), sklep(+1.00), szkola_przedszkole(+1.00)","pub(-0.07), stacja_kolej_metro(0.00), klub(-0.00)"
A031,rodzinny,0.2142,1.0,0.7025,0.7534,0.5936,10286.0,53.1,7,"przystanek_tramwaj(+0.69), przystanek_autobus(+0.50), szkola_przedszkole(+0.34)","pub(-0.05), stacja_kolej_metro(0.00), klub(-0.00)"
A009,rodzinny,0.7915,0.7286,0.3225,0.5507,0.5793,11920.0,37.9,4,"szkola_przedszkole(+1.00), sklep(+1.00), przystanek_tramwaj(+1.00)","pub(-0.22), stacja_kolej_metro(0.00), klub(-0.00)"
