apt_id,profile,POI,CENA,M2,ZDJ,ATRAKCYJNOSC,price_pln_m2,size_m2,photos_count,TOP_PLUS,TOP_MINUS
A000,studencki,0.6589,0.9905,1.0,0.8647,0.8535,10720.0,58.2,10,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+0.86)","stacja_kolej_metro(0.00), galeria(0.00), plac_zabaw(0.00)"
A006,studencki,0.745,0.8522,1.0,0.6988,0.8312,11354.0,47.1,6,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","stacja_kolej_metro(0.00), galeria(0.00), plac_zabaw(0.00)"
A030,studencki,0.8064,0.7441,1.0,0.7981,0.8229,11849.0,45.0,8,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","stacja_kolej_metro(0.00), galeria(0.00), plac_zabaw(0.00)"
A033,studencki,0.5701,1.0,1.0,0.7981,0.8179,8590.0,69.3,8,"przystanek_autobus(+1.00), sklep(+1.00), silownia(+0.95)","stacja_kolej_metro(0.00), klub(0.00), galeria(0.00)"
A018,studencki,0.7958,0.7245,1.0,0.5507,0.7994,11939.0,51.0,4,"przystanek_autobus(+1.00), pub(+1.00), sklep(+0.97)","stacja_kolej_metro(0.00), klub(0.00), galeria(0.00)"
A003,studencki,0.8761,0.5259,1.0,0.7534,0.7722,12849.0,45.8,7,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","stacja_kolej_metro(0.00), galeria(0.00), plac_zabaw(0.00)"
A034,studencki,0.6095,0.7474,1.0,0.6321,0.737,11834.0,71.9,5,"sklep(+1.00), przystanek_tramwaj(+1.00), przystanek_autobus(+0.95)","uczelnia(0.00), stacja_kolej_metro(0.00), galeria(0.00)"
A011,studencki,0.3128,1.0,1.0,0.7981,0.715,9753.0,48.4,8,"przystanek_tramwaj(+1.00), biblioteka(+0.66), uczelnia(+0.60)","szpital_przychodnia(0.00), apteka(0.00), stacja_kolej_metro(0.00)"
A009,studencki,0.6907,0.7286,0.716,0.5507,0.702,11920.0,37.9,4,"sklep(+1.00), przystanek_tramwaj(+1.00), przystanek_autobus(+0.97)","stacja_kolej_metro(0.00), klub(0.00), galeria(0.00)"
A029,studencki,0.7343,0.6001,0.876,0.4512,0.7015,12509.0,41.9,3,"przystanek_tramwaj(+1.00), sklep(+1.00), przystanek_autobus(+1.00)","stacja_kolej_metro(0.00), galeria(0.00), plac_zabaw(0.00)"
A007,studencki,0.8117,0.3891,0.9,0.6321,0.6725,13476.0,42.5,5,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","stacja_kolej_metro(0.00), galeria(0.00), plac_zabaw(0.00)"
A031,studencki,0.1842,1.0,1.0,0.7534,0.6614,10286.0,53.1,7,"przystanek_tramwaj(+0.69), przystanek_autobus(+0.50), sklep(+0.19)","uczelnia(0.00), stacja_kolej_metro(0.00), galeria(0.00)"
A013,studencki,0.2751,0.8657,1.0,0.6988,0.648,11292.0,48.8,6,"uczelnia(+0.85), przystanek_autobus(+0.76), przystanek_tramwaj(+0.69)","biblioteka(0.00), stacja_kolej_metro(0.00), klub(0.00)"
A035,studencki,0.6413,0.5375,0.98,0.0,0.6406,12796.0,44.5,0,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","stacja_kolej_metro(0.00), klub(0.00), galeria(0.00)"
A010,studencki,0.5568,0.5639,1.0,0.3297,0.6366,12675.0,48.5,2,"przystanek_autobus(+1.00), sklep(+1.00), silownia(+0.97)","uczelnia(0.00), stacja_kolej_metro(0.00), galeria(0.00)"
