apt_id,profile,POI,CENA,M2,ZDJ,ATRAKCYJNOSC,price_pln_m2,size_m2,photos_count,TOP_PLUS,TOP_MINUS
A033,uniwersalny,0.7,1.0,1.0,0.7981,0.8797,8590.0,69.3,8,"przystanek_autobus(+1.00), sklep(+1.00), przystanek_tramwaj(+0.91)","stacja_kolej_metro(0.00), galeria(0.00), klub(0.00)"
A000,uniwersalny,0.6576,0.9905,1.0,0.8647,0.8746,10720.0,58.2,10,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+0.86)","stacja_kolej_metro(0.00), galeria(0.00), sklep_zoologiczny(0.03)"
A034,uniwersalny,0.7658,0.7474,1.0,0.6321,0.8114,11834.0,71.9,5,"sklep(+1.00), przystanek_tramwaj(+1.00), przystanek_autobus(+0.95)","stacja_kolej_metro(0.00), galeria(0.00), klub(0.00)"
A018,uniwersalny,0.8477,0.7245,0.8788,0.5507,0.7817,11939.0,51.0,4,"przystanek_autobus(+1.00), sklep(+0.97), przystanek_tramwaj(+0.96)","stacja_kolej_metro(0.00), galeria(0.00), klub(0.00)"
A006,uniwersalny,0.7843,0.8522,0.7606,0.6988,0.7813,11354.0,47.1,6,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","stacja_kolej_metro(0.00), galeria(0.00), klub(0.05)"
A030,uniwersalny,0.8671,0.7441,0.697,0.7981,0.775,11849.0,45.0,8,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","stacja_kolej_metro(0.00), galeria(0.00), klub(0.07)"
A003,uniwersalny,0.8878,0.5259,0.7212,0.7534,0.7272,12849.0,45.8,7,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","stacja_kolej_metro(0.00), galeria(0.00), klub(0.26)"
A031,uniwersalny,0.2222,1.0,0.9424,0.7534,0.7124,10286.0,53.1,7,"przystanek_tramwaj(+0.69), przystanek_autobus(+0.50), szkola_przedszkole(+0.22)","stacja_kolej_metro(0.00), galeria(0.00), klub(0.00)"
A019,uniwersalny,0.546,0.4694,1.0,0.7981,0.7009,13108.0,61.8,8,"sklep(+0.79), szpital_przychodnia(+0.75), przystanek_autobus(+0.69)","stacja_kolej_metro(0.00), galeria(0.00), biblioteka(0.02)"
A011,uniwersalny,0.2593,1.0,0.8,0.7981,0.6875,9753.0,48.4,8,"przystanek_tramwaj(+1.00), biblioteka(+0.43), przystanek_autobus(+0.35)","szpital_przychodnia(0.00), apteka(0.00), stacja_kolej_metro(0.00)"
A026,uniwersalny,0.8882,0.0986,0.9727,0.5507,0.6655,14807.0,54.1,4,"sklep(+1.00), przystanek_autobus(+1.00), apteka(+1.00)","stacja_kolej_metro(0.00), galeria(0.00), klub(0.35)"
A009,uniwersalny,0.8286,0.7286,0.4818,0.5507,0.6579,11920.0,37.9,4,"sklep(+1.00), przystanek_tramwaj(+1.00), przystanek_autobus(+0.97)","stacja_kolej_metro(0.00), galeria(0.00), klub(0.00)"
A025,uniwersalny,0.2891,0.6595,1.0,0.6988,0.6564,12237.0,67.1,6,"sklep(+0.68), przystanek_autobus(+0.67), plac_zabaw(+0.42)","przystanek_tramwaj(0.00), stacja_kolej_metro(0.00), galeria(0.00)"
A013,uniwersalny,0.2568,0.8657,0.8121,0.6988,0.6419,11292.0,48.8,6,"przystanek_autobus(+0.76), przystanek_tramwaj(+0.69), plac_zabaw(+0.59)","biblioteka(0.00), stacja_kolej_metro(0.00), galeria(0.00)"
A007,uniwersalny,0.8776,0.3891,0.6212,0.6321,0.6417,13476.0,42.5,5,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","stacja_kolej_metro(0.00), galeria(0.00), klub(0.06)"
