apt_id,profile,POI,CENA,M2,ZDJ,ATRAKCYJNOSC,price_pln_m2,size_m2,photos_count,TOP_PLUS,TOP_MINUS
A033,wlasciciel_psa,0.6975,1.0,1.0,0.7981,0.8538,8590.0,69.3,8,"przystanek_autobus(+1.00), sklep(+1.00), przystanek_tramwaj(+0.91)","pub(-0.02), stacja_kolej_metro(0.00), galeria(0.00)"
A034,wlasciciel_psa,0.7759,0.7474,1.0,0.6321,0.8302,11834.0,71.9,5,"sklep(+1.00), przystanek_tramwaj(+1.00), weterynarz(+0.98)","pub(-0.02), stacja_kolej_metro(0.00), galeria(0.00)"
A000,wlasciciel_psa,0.5941,0.9905,1.0,0.8647,0.8087,10720.0,58.2,10,"sklep(+1.00), przystanek_autobus(+1.00), park(+0.99)","pub(-0.08), klub(-0.06), stacja_kolej_metro(0.00)"
A018,wlasciciel_psa,0.8356,0.7245,0.8667,0.5507,0.8085,11939.0,51.0,4,"przystanek_autobus(+1.00), park(+1.00), sklep_zoologiczny(+1.00)","pub(-0.10), stacja_kolej_metro(0.00), galeria(0.00)"
A030,wlasciciel_psa,0.8527,0.7441,0.6667,0.7981,0.7725,11849.0,45.0,8,"sklep(+1.00), przystanek_autobus(+1.00), park(+1.00)","pub(-0.10), klub(-0.04), stacja_kolej_metro(0.00)"
A006,wlasciciel_psa,0.7653,0.8522,0.7367,0.6988,0.7708,11354.0,47.1,6,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","pub(-0.09), klub(-0.03), stacja_kolej_metro(0.00)"
A003,wlasciciel_psa,0.8451,0.5259,0.6933,0.7534,0.7312,12849.0,45.8,7,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","klub(-0.15), pub(-0.10), stacja_kolej_metro(0.00)"
A026,wlasciciel_psa,0.8292,0.0986,0.97,0.5507,0.7114,14807.0,54.1,4,"sklep(+1.00), przystanek_autobus(+1.00), park(+1.00)","klub(-0.20), pub(-0.10), stacja_kolej_metro(0.00)"
A019,wlasciciel_psa,0.5542,0.4694,1.0,0.7981,0.6832,13108.0,61.8,8,"weterynarz(+0.86), sklep(+0.79), sklep_zoologiczny(+0.75)","pub(-0.05), klub(-0.02), stacja_kolej_metro(0.00)"
A009,wlasciciel_psa,0.8316,0.7286,0.43,0.5507,0.6765,11920.0,37.9,4,"sklep(+1.00), przystanek_tramwaj(+1.00), park(+0.99)","pub(-0.07), stacja_kolej_metro(0.00), galeria(0.00)"
A007,wlasciciel_psa,0.8589,0.3891,0.5833,0.6321,0.6709,13476.0,42.5,5,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","pub(-0.10), klub(-0.03), stacja_kolej_metro(0.00)"
A010,wlasciciel_psa,0.6565,0.5639,0.7833,0.3297,0.6597,12675.0,48.5,2,"przystanek_autobus(+1.00), sklep(+1.00), park(+0.88)","pub(-0.02), stacja_kolej_metro(0.00), galeria(0.00)"
A035,wlasciciel_psa,0.729,0.5375,0.65,0.0,0.6306,12796.0,44.5,0,"sklep(+1.00), przystanek_autobus(+1.00), przystanek_tramwaj(+1.00)","pub(-0.09), stacja_kolej_metro(0.00), galeria(0.00)"
A031,wlasciciel_psa,0.2188,1.0,0.9367,0.7534,0.6171,10286.0,53.1,7,"przystanek_tramwaj(+0.69), przystanek_autobus(+0.50), weterynarz(+0.21)","pub(-0.02), stacja_kolej_metro(0.00), galeria(0.00)"
A025,wlasciciel_psa,0.2911,0.6595,1.0,0.6988,0.5978,12237.0,67.1,6,"sklep(+0.68), przystanek_autobus(+0.67), park(+0.60)","klub(-0.01), pub(-0.00), przystanek_tramwaj(0.00)"
A029,wlasciciel_psa,0.6242,0.6001,0.5633,0.4512,0.5925,12509.0,41.9,3,"przystanek_tramwaj(+1.00), sklep(+1.00), przystanek_autobus(+1.00)","klub(-0.17), pub(-0.10), stacja_kolej_metro(0.00)"
A037,wlasciciel_psa,0.6654,0.0,0.8133,0.8347,0.5852,15671.0,49.4,9,"sklep(+1.00), park(+1.00), przystanek_tramwaj(+0.90)","klub(-0.14), pub(-0.10), stacja_kolej_metro(0.00)"
A011,wlasciciel_psa,0.2408,1.0,0.78,0.7981,0.5823,9753.0,48.4,8,"przystanek_tramwaj(+1.00), park(+0.49), przystanek_autobus(+0.35)","pub(-0.06), szpital_przychodnia(0.00), stacja_kolej_metro(0.00)"
A021,wlasciciel_psa,0.7411,0.2769,0.5067,0.7534,0.5785,13990.0,40.2,7,"przystanek_autobus(+1.00), sklep(+1.00), park(+1.00)","klub(-0.14), pub(-0.08), stacja_kolej_metro(0.00)"
A036,wlasciciel_psa,0.7238,0.2642,0.5333,0.7534,0.5762,14048.0,41.0,7,"sklep(+1.00), apteka(+0.99), przystanek_tramwaj(+0.97)","pub(-0.09), stacja_kolej_metro(0.00), galeria(0.00)"
A013,wlasciciel_psa,0.2665,0.8657,0.7933,0.6988,0.566,11292.0,48.8,6,"park(+0.89), przystanek_autobus(+0.76), przystanek_tramwaj(+0.69)","pub(-0.02), weterynarz(0.00), sklep_zoologiczny(0.00)"
A028,wlasciciel_psa,0.3444,0.4478,0.9067,0.7534,0.5542,13207.0,52.2,7,"sklep(+0.95), przystanek_tramwaj(+0.87), przystanek_autobus(+0.72)","stacja_kolej_metro(0.00), klub(-0.00), silownia(0.00)"
A014,wlasciciel_psa,0.6799,0.2093,0.5433,0.8347,0.5525,14300.0,41.3,9,"przystanek_autobus(+1.00), park(+1.00), sklep(+0.99)","pub(-0.07), klub(-0.03), stacja_kolej_metro(0.00)"
A008,wlasciciel_psa,0.0912,0.7265,1.0,0.5507,0.5139,11930.0,80.1,4,"przystanek_autobus(+0.89), sklep(+0.18), park(+0.03)","szpital_przychodnia(0.00), apteka(0.00), przystanek_tramwaj(0.00)"
A016,wlasciciel_psa,0.7562,0.0002,0.3633,0.6988,0.4842,15258.0,35.9,6,"przystanek_autobus(+1.00), przystanek_tramwaj(+1.00), sklep(+1.00)","klub(-0.20), pub(-0.08), stacja_kolej_metro(0.00)"
A002,wlasciciel_psa,0.2499,0.0962,1.0,0.5507,0.4592,14818.0,68.0,4,"przystanek_autobus(+0.98), park(+0.89), przystanek_tramwaj(+0.75)","pub(-0.01), weterynarz(0.00), galeria(0.00)"
A038,wlasciciel_psa,0.3144,0.2119,0.8267,0.4512,0.4544,14288.0,49.8,3,"sklep(+0.95), przystanek_autobus(+0.87), park(+0.55)","klub(-0.03), pub(-0.02), stacja_kolej_metro(0.00)"
A020,wlasciciel_psa,0.1206,1.0,0.5133,0.6988,0.4432,8527.0,40.4,6,"przystanek_autobus(+0.53), przystanek_tramwaj(+0.35), park(+0.13)","pub(-0.01), apteka(0.00), weterynarz(0.00)"
A032,wlasciciel_psa,0.1317,0.1204,1.0,0.6988,0.4183,14707.0,61.3,6,"przystanek_autobus(+0.43), sklep(+0.25), park(+0.25)","szpital_przychodnia(0.00), stacja_kolej_metro(0.00), przystanek_tramwaj(0.00)"
A001,wlasciciel_psa,0.4132,0.7465,0.1767,0.5507,0.4158,11838.0,30.3,4,"przystanek_autobus(+0.86), park(+0.67), sklep(+0.62)","pub(-0.00), stacja_kolej_metro(0.00), sklep_zoologiczny(0.00)"
